userID,game,action,hours_played,genre,metascore,user_score,score
53898495,Path of Exile,play,13.0,Action RPG,86,81,292.0
136135322,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
136135322,Path of Exile,play,37.0,Action RPG,86,81,292.0
67492611,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
67492611,Path of Exile,play,1.0,Action RPG,86,81,292.0
80779496,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
80779496,Path of Exile,play,43.0,Action RPG,86,81,292.0
199693353,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
199693353,Path of Exile,play,0.2,Action RPG,86,81,292.0
115287826,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
11403772,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
11403772,Path of Exile,play,10.1,Action RPG,86,81,292.0
50744279,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
158944454,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
158944454,Path of Exile,play,0.4,Action RPG,86,81,292.0
131785763,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
131785763,Path of Exile,play,1.3,Action RPG,86,81,292.0
86912006,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
86912006,Path of Exile,play,137.0,Action RPG,86,81,292.0
173382820,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
251241445,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
2259650,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
94161846,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
67083031,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
204795948,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
122679931,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
122679931,Path of Exile,play,0.4,Action RPG,86,81,292.0
188386352,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
188386352,Path of Exile,play,2.1,Action RPG,86,81,292.0
65342306,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
65342306,Path of Exile,play,2.3,Action RPG,86,81,292.0
176590636,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
179772319,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
122026623,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
122026623,Path of Exile,play,91.0,Action RPG,86,81,292.0
251123935,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
104635003,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
72996988,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
72996988,Path of Exile,play,1.1,Action RPG,86,81,292.0
152959594,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
152959594,Path of Exile,play,6.1,Action RPG,86,81,292.0
73518199,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
73518199,Path of Exile,play,5.2,Action RPG,86,81,292.0
100311267,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
100311267,Path of Exile,play,4.5,Action RPG,86,81,292.0
73835640,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
73835640,Path of Exile,play,301.0,Action RPG,86,81,292.0
46637811,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
